Session_ID,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Onset_Mod1,Onset_Mod2,Onset_Mod3,Onset_Mod4,Onset_Mod5,Onset_Mod6,Onset_Mod7,Onset_Mod8,Onset_Mod9
1,FN,RN,DN,FT,RT,DT,RB,DB,FB,-0.93,0.0,3.49,3.8,0.0,-2.36,0.0,1.25,2.56
2,DB,FT,DT,RT,FB,RB,DN,RN,FN,-1.86,1.88,-0.4,0.0,2.45,0.0,-3.43,0.0,1.23
3,RN,FN,DN,DB,DT,FB,FT,RT,RB,0.0,-1.85,-0.34,3.07,2.18,1.7,-0.3,0.0,0.0
4,DT,FT,DB,RT,FB,RB,FN,DN,RN,-3.03,-0.33,3.49,0.0,3.04,0.0,-3.62,-3.04,0.0
5,DN,FN,RN,DT,DB,RT,RB,FT,FB,-2.55,-3.22,0.0,-3.72,3.48,0.0,0.0,-2.09,-0.77
6,RT,DT,RB,FT,FB,DB,RN,DN,FN,0.0,-3.58,0.0,-3.64,3.52,-1.85,0.0,2.11,-0.63
7,FN,RN,DN,DB,RT,RB,FT,FB,DT,-3.38,0.0,0.36,1.92,0.0,0.0,-3.35,0.76,-0.16
8,RB,DT,FB,DB,RT,FT,DN,RN,FN,0.0,-0.88,-3.61,3.95,0.0,3.05,1.47,0.0,1.84
9,RN,DN,FN,RT,FT,DT,FB,DB,RB,0.0,-0.03,2.54,0.0,-0.02,-3.09,3.13,0.08,0.0
10,DT,RT,FB,RB,FT,DB,RN,FN,DN,-1.87,0.0,1.64,0.0,-0.37,2.61,0.0,-1.91,-3.02
